STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
17,170334,1,1,1,0,179,9,6,23,17,1,34,0,0,22,22020,4,2005,P,PONT,GRA,4D,5,17,3477,NA,0,1105,NA,G,NA,FALSE,6,231,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,1,21,2,1,4,11,3,0,1,0,0,0,1,1,2,1,17,8,8,2,1,0,0,1,0,0,0,7,10,6,2011,0,33,33,1,16,0,0,0,************,0,7,1,0
17,170013,2,1,1,0,43,14,1,3,30,11,12,1,0,22,22018,2,2002,P,PONT,GAG,CP,2,17,3091,NA,0,1070,NA,G,NA,FALSE,6,207,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,98,0,22,2,1,4,11,7,0,1,0,0,0,9,9,2,1,17,8,8,0,0,0,0,0,0,0,0,7,14,1,2011,4,13,413,0,43,0,0,0,************,0,7,1,0
17,170222,4,2,1,0,197,18,5,14,16,11,12,1,0,49,49032,4,2009,P,TOYT,CBL,4D,9,17,2723,NA,0,1024,NA,G,NA,FALSE,4,110,NA,15R195,NA,NA,NA,NA,NA,NA,0,0,0,0,12,98,0,60,2,1,4,11,3,0,99,0,0,0,0,1,2,1,10,8,8,2,1,1,0,407,603,0,0,7,18,5,2011,15,0,1500,0,44,0,0,0,************,0,7,1,0
17,170786,1,1,1,0,197,9,12,1,40,11,1,0,0,12,12401,14,1999,P,FORD,EPR,UT,99,17,3898,NA,0,1017,NA,G,NA,FALSE,6,245,NA,15R235,NA,NA,NA,NA,NA,NA,0,0,0,1,0,13,0,29,2,1,4,11,3,0,20,0,0,1,8,9,2,1,12,8,8,2,1,0,0,1,0,0,0,7,9,12,2011,3,2,302,1,22,0,0,0,************,0,7,1,0
17,170504,2,1,1,0,97,29,8,9,50,11,12,7,0,59,59032,4,1997,P,LEXS,LS4,4D,97,17,3726,NA,0,1122,NA,G,NA,FALSE,8,242,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,2,2,0,45,2,1,4,11,7,0,1,0,0,0,0,5,2,1,1,8,8,2,1,0,0,1,0,0,5,0,29,8,2011,10,43,1043,0,53,0,0,0,************,0,7,1,0
17,170725,2,1,1,0,31,14,8,3,35,11,8,0,0,51,51046,4,2001,P,VOLV,S4T,4D,1,17,3068,NA,0,1009,NA,G,NA,TRUE,4,119,NA,15R195,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,22,2,1,0,11,3,0,20,0,0,0,1,1,2,1,10,8,8,2,1,0,0,997,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
18,180676,2,1,1,0,89,26,12,4,30,11,12,1,0,12,12017,4,2005,P,FORD,TSE,4D,5,17,3306,NA,0,1085,NA,F,NA,FALSE,6,182,NA,16R215,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,26,2,1,4,11,3,0,1,0,0,1,1,1,2,1,13,1,1,2,1,0,0,603,0,0,0,7,26,12,2011,5,37,537,1,7,0,0,0,************,0,99,99,0
18,180260,1,1,1,0,89,8,6,22,24,11,34,0,0,20,20022,2,2008,P,CHEV,BLT,CP,8,17,2991,NA,0,1033,NA,G,NA,FALSE,4,134,NA,15R195,NA,NA,NA,NA,NA,NA,0,0,0,1,14,13,0,21,2,1,4,11,7,0,20,1,2,0,1,1,2,1,28,0,1,2,1,0,0,1,0,0,5,0,8,6,2011,23,12,2312,0,48,0,0,0,************,0,7,1,0
18,180614,2,1,1,0,11,20,11,3,49,11,12,2,0,22,22020,4,2004,P,PONT,GP2,4D,4,17,3484,NA,0,1105,NA,G,NA,FALSE,6,231,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,28,2,1,4,11,7,0,20,0,0,1,1,1,2,1,17,0,1,2,1,0,0,1,0,0,0,7,20,11,2011,3,49,349,0,0,0,0,0,************,0,1,1,0
19,190269,1,1,3,0,53,28,10,23,45,1,1,0,0,30,30040,4,1997,P,VOLK,JGT,4D,97,17,2507,NA,0,974,NA,G,NA,FALSE,4,121,NA,14R195,NA,NA,NA,NA,NA,NA,0,0,0,1,0,9,0,18,2,2,4,21,7,0,0,1,2,0,1,1,2,1,6,1,1,2,1,1,0,695,606,0,0,7,29,10,2011,0,30,30,0,45,0,0,0,************,0,7,1,0
