STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,RUR_URB,FUNC_SYS,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,WORK_INJ,HISPANIC,RACE,LOCATION
19,190132,1,1,1,0,103,15,7,4,38,1,1,14,0,0,35,35039,4,1998,0,0,0,0,12,0,33,2,1,4,11,3,0,1,0,0,1,1,1,2,1,42,1,1,2,1,1,0,695,996,0,0,7,15,7,2015,4,52,452,0,14,0,0,0,0,7,1,0
26,260466,1,1,1,0,163,28,7,1,7,2,1,25,0,0,22,22002,4,2005,0,0,0,1,11,0,37,2,1,4,11,99,0,1,1,9,0,0,9,2,1,60,0,8,8,6,0,0,95,0,0,5,0,31,7,2015,10,0,1000,80,53,0,0,0,0,7,2,0
27,270064,1,1,1,0,25,2,4,19,18,1,1,34,0,0,20,20431,16,2002,0,0,0,1,81,0,29,2,1,4,11,7,0,20,1,9,0,9,9,2,1,48,9,8,2,1,0,0,1,0,0,0,7,2,4,2015,19,22,1922,0,4,0,0,0,0,7,1,0
27,270164,1,1,1,0,123,26,6,22,12,2,1,24,0,0,7,7043,4,2004,0,0,0,0,12,0,50,2,1,4,11,3,0,1,0,0,0,9,9,2,1,51,9,8,2,2,0,0,996,0,0,0,7,26,6,2015,22,12,2212,0,0,0,0,0,0,7,2,0
27,270215,1,1,1,0,25,10,8,20,3,1,1,1,0,0,49,49472,30,1995,0,0,0,1,0,0,53,2,1,4,11,99,0,20,2,9,0,9,9,2,1,83,9,8,2,1,0,0,177,0,0,0,7,10,8,2015,20,3,2003,0,0,0,0,0,0,7,1,0
27,270232,2,2,4,0,171,29,8,13,30,2,1,12,1,0,55,55035,9,2015,0,0,0,0,6,0,38,2,2,4,23,7,0,20,0,0,1,8,9,2,1,7,8,8,2,1,0,0,1,0,0,0,7,29,8,2015,13,40,1340,0,10,0,0,0,0,7,1,0
27,270256,1,1,1,0,53,20,9,3,5,2,1,9,0,0,35,35047,4,2013,0,0,0,0,12,0,23,2,1,0,11,7,0,20,0,0,0,1,1,2,1,40,0,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,8,0,0,0
29,290300,2,2,2,0,510,2,5,6,19,2,1,12,1,0,20,20037,4,2001,0,0,0,0,6,0,21,2,2,4,13,99,0,99,0,0,0,8,9,2,1,88,8,8,2,1,0,0,1,0,0,0,7,2,5,2015,6,19,619,0,0,0,0,0,0,7,2,0
29,290806,1,1,2,0,47,10,12,22,55,2,1,1,0,0,22,22018,4,2003,0,0,0,2,0,0,39,2,2,4,13,7,0,20,1,6,0,8,9,2,1,77,8,8,2,1,1,1,401,417,605,5,0,11,12,2015,6,43,643,7,48,0,0,0,0,7,98,0
38,380052,2,2,2,0,59,27,6,1,25,2,1,12,2,0,30,30040,4,2002,0,0,0,0,12,0,21,2,2,4,13,7,0,8,3,1,0,9,9,2,1,74,0,8,2,1,0,0,1,0,0,0,7,27,6,2015,1,25,125,0,0,0,0,0,0,7,1,0
39,390052,1,1,4,0,49,8,2,2,45,2,1,31,0,0,2,2405,14,2005,0,0,0,0,81,0,22,2,2,4,21,99,0,99,1,9,0,8,9,2,1,20,8,8,2,1,0,0,695,0,0,0,7,8,2,2015,3,7,307,0,22,0,0,0,0,99,99,0
39,390076,1,1,1,0,49,15,2,6,0,2,1,26,0,0,20,20421,15,1995,0,0,0,0,99,0,37,2,1,4,11,99,0,0,1,6,0,0,9,2,1,50,0,8,2,1,0,0,996,0,0,0,7,15,2,2015,6,21,621,0,21,0,0,0,0,1,1,0
