STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
9,90014,1,1,1,0,3,22,2,3,39,1,25,0,0,2,2404,14,2002,0,0,0,1,11,0,18,2,1,4,11,3,0,9,0,0,1,1,1,2,1,9,8,8,2,1,0,0,1,0,0,0,7,22,2,2014,99,99,9999,999,99,0,0,0,************,0,7,1,0
9,90092,1,2,1,0,1,30,3,6,29,11,14,0,0,30,30046,4,2003,0,0,0,0,12,1,27,2,1,4,11,7,0,1,0,0,1,1,1,2,1,20,1,1,2,1,1,1,401,702,996,0,7,30,3,2014,6,47,647,0,18,0,0,0,************,0,7,1,0
25,250046,1,1,1,0,25,6,3,3,9,11,25,0,0,55,55036,4,2013,0,0,0,0,81,0,27,2,1,4,11,7,0,8,0,0,1,8,9,2,1,35,8,8,2,1,0,0,1,0,0,5,0,6,3,2014,3,44,344,0,35,0,0,0,************,0,7,1,0
25,250003,1,1,1,0,21,22,2,2,15,11,24,0,0,37,37031,2,2004,0,0,0,0,12,0,22,2,1,4,11,3,0,1,0,0,0,8,9,2,1,20,8,8,2,1,0,0,1,0,0,0,7,22,2,2014,2,30,230,0,15,0,0,0,************,0,7,1,0
25,250239,3,1,1,0,27,1,11,20,8,1,24,0,0,58,58037,4,2006,0,0,0,0,62,0,41,2,1,4,11,98,0,8,1,9,0,8,9,2,1,29,8,8,2,1,0,0,1,0,0,0,7,1,11,2014,20,15,2015,0,7,0,0,0,************,0,7,1,0
25,250067,3,2,3,0,21,30,5,16,22,11,24,0,0,49,49040,4,2000,0,0,0,0,12,0,58,2,2,4,22,7,0,0,0,0,0,8,9,2,1,1,8,8,2,1,0,0,996,0,0,0,7,30,5,2014,17,15,1715,0,53,0,0,0,************,0,7,1,0
25,250249,1,1,2,0,21,29,12,0,14,11,24,0,0,20,20481,31,2009,0,0,0,0,62,1,22,2,2,4,13,98,0,98,0,0,1,8,9,2,1,17,8,8,2,1,1,1,417,600,605,0,7,29,12,2014,0,18,18,0,4,0,0,0,************,0,99,99,0
34,340139,1,1,1,0,13,11,5,1,25,11,24,0,0,35,35039,4,2005,0,0,0,1,11,0,28,2,1,2,11,3,0,1,0,0,0,1,1,2,1,16,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
34,340451,2,1,1,0,31,27,11,6,51,11,12,6,0,49,49044,2,2008,0,0,0,0,3,0,43,2,1,4,11,3,0,20,0,0,1,1,1,2,1,4,0,1,2,1,0,0,1,0,0,0,7,27,11,2014,7,20,720,0,29,0,0,0,************,0,7,1,0
34,340328,1,1,1,0,41,24,9,15,55,11,33,0,0,7,7422,15,2005,0,0,0,1,5,0,42,2,1,4,11,3,0,20,0,0,1,1,1,2,1,12,0,1,2,1,0,0,1,0,0,5,0,2,10,2014,2,27,227,178,32,0,0,0,************,0,7,2,0
34,340144,1,2,2,0,39,3,5,4,3,11,14,0,0,37,37402,14,2014,0,0,0,0,12,0,33,2,2,4,13,3,0,1,0,0,1,1,1,2,1,10,0,1,2,1,0,0,1,0,0,0,7,3,5,2014,4,38,438,0,35,0,0,0,************,0,4,1,0
34,340044,1,1,1,0,13,8,3,4,5,11,33,0,0,37,37032,4,2008,0,0,0,0,14,1,21,2,1,4,11,99,0,99,0,0,0,1,1,2,1,19,1,1,2,1,0,0,605,0,0,0,7,8,3,2014,6,7,607,2,2,0,0,0,************,0,4,98,0
36,360320,1,1,1,0,91,8,6,4,52,1,52,0,0,67,67032,3,2013,0,0,0,1,62,0,22,2,1,4,11,7,0,1,1,9,0,8,9,2,1,15,8,8,2,1,1,0,600,605,0,0,7,8,6,2014,7,30,730,2,38,0,0,0,************,0,7,1,0
36,360549,1,1,1,0,29,24,8,0,58,1,1,0,0,20,20481,31,2007,0,0,0,2,0,0,41,2,1,4,11,7,0,1,1,9,0,8,9,2,1,21,8,8,2,1,0,0,1,0,0,0,7,24,8,2014,1,15,115,0,17,0,0,0,************,0,99,99,0
36,360684,1,1,2,0,47,17,10,2,4,11,25,0,0,73,73709,80,2013,0,0,0,0,12,0,24,2,2,4,21,5,0,0,8,0,0,8,9,2,1,16,8,8,2,1,0,0,1,0,0,0,7,17,10,2014,2,13,213,0,9,0,0,0,************,0,2,98,0
36,360297,1,1,5,0,45,1,6,16,11,1,24,0,0,49,49422,15,2010,0,0,0,1,12,0,14,2,2,4,21,99,0,9,1,9,0,8,9,2,1,1,8,8,2,1,0,0,1,0,0,0,7,1,6,2014,99,99,9999,999,99,0,0,0,************,0,7,1,0
36,360489,4,1,3,0,1,4,7,23,42,1,12,7,0,30,30042,3,2004,0,0,0,0,62,0,24,2,2,4,22,7,0,0,1,9,0,8,9,2,1,9,8,8,2,1,0,0,1,0,0,0,7,4,7,2014,99,99,9999,999,99,0,0,0,************,0,7,1,0
36,360457,1,1,2,0,55,19,7,18,38,11,25,0,0,37,37705,80,1983,0,0,0,0,12,0,46,2,2,4,21,5,0,0,8,0,0,8,9,2,1,38,8,8,0,0,0,0,0,0,0,0,7,19,7,2014,99,99,9999,999,99,0,0,0,************,0,7,1,0
36,360846,2,2,2,0,103,9,11,3,47,11,12,1,0,49,49032,4,2013,0,0,0,0,12,0,25,2,2,4,12,7,0,99,0,0,9,8,9,2,1,22,8,8,2,1,0,0,1,0,0,0,7,9,11,2014,99,99,9999,999,99,0,0,0,************,0,6,1,0
42,420760,2,1,1,0,91,26,9,2,0,11,12,2,0,49,49032,4,2007,0,0,0,0,12,0,22,2,1,4,11,7,0,1,0,0,1,1,1,2,1,17,0,1,2,1,0,0,1,0,0,0,7,26,9,2014,2,0,200,0,0,0,0,0,************,0,99,99,0
42,420175,1,1,1,0,25,29,3,23,40,1,42,0,0,12,12024,6,2008,0,0,0,1,11,0,32,2,1,4,11,7,0,8,1,9,0,9,9,2,1,22,9,8,2,1,0,0,1,0,0,0,7,29,3,2014,23,40,2340,0,0,0,0,0,************,0,99,99,0
42,420185,3,1,1,0,41,28,1,20,35,11,12,7,0,21,21021,2,1997,0,0,0,0,12,0,26,2,1,4,11,7,0,20,0,0,0,1,1,2,1,21,0,7,2,1,0,0,996,0,0,0,7,28,1,2014,20,35,2035,0,0,0,0,0,************,0,99,99,0
44,440006,2,2,1,0,7,28,2,3,4,11,12,2,0,37,37031,4,2006,0,0,0,0,12,0,21,2,1,3,11,3,0,8,0,0,1,1,9,2,1,21,0,8,2,1,0,0,997,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
44,440011,2,1,1,0,3,13,4,21,3,11,12,7,0,24,24005,4,2000,0,0,0,1,4,0,44,2,1,4,11,3,0,20,0,0,1,1,9,2,1,22,0,8,2,1,0,0,1,0,0,5,0,16,4,2014,17,37,1737,68,34,0,0,0,************,0,7,1,0
