STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
1,10042,1,1,1,0,101,21,1,1,25,11,24,0,0,6,6054,6,2004,P,CHRY,PIF,UT,4,17,4546,NA,0,1163,NA,G,NA,FALSE,6,214,NA,17R235,NA,NA,NA,NA,NA,NA,0,0,0,1,12,0,33,2,1,4,11,7,0,99,2,9,0,9,9,2,1,22,9,8,2,1,0,0,605,0,0,0,7,21,1,2012,1,42,142,0,17,0,0,0,************,0,7,2,0
5,50245,1,1,5,0,85,30,6,0,11,1,1,0,0,12,12401,14,1998,P,FORD,EPR,UT,98,17,3692,NA,0,1017,NA,G,NA,FALSE,6,245,NA,15R225,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,35,2,2,4,13,7,0,20,1,9,0,8,9,2,1,1,8,8,2,2,0,0,1,0,0,0,7,30,6,2012,0,11,11,0,0,0,0,0,************,0,7,2,0
12,120891,2,2,1,0,9,1,6,4,40,11,12,1,0,49,49442,20,2011,P,TOYT,SIE,SV,11,17,4365,NA,0,1193,NA,G,NA,FALSE,6,214,NA,17R235,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,29,2,1,4,11,3,0,1,0,0,0,1,9,2,1,29,0,8,2,1,0,0,1,0,0,0,7,1,6,2012,5,3,503,0,23,0,0,0,************,0,7,2,0
12,121453,5,0,1,1,15,30,8,4,32,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,5,4,0,96,8,97,8,0,0,1,9,2,1,14,9,8,2,1,0,0,996,0,0,0,7,30,8,2012,4,32,432,0,0,0,0,0,************,0,7,1,11
12,122037,2,1,1,0,83,2,12,2,38,11,12,1,0,37,37031,3,1993,P,HOND,CVS,2H,93,17,2326,NA,0,1013,NA,G,NA,FALSE,4,097,NA,14R185,NA,NA,NA,NA,NA,NA,0,0,0,0,6,1,35,2,2,4,13,3,0,20,0,0,0,1,9,2,1,22,8,8,2,1,0,0,605,0,0,0,7,2,12,2012,2,51,251,0,13,0,0,0,************,0,2,1,0
12,120125,1,3,1,0,127,26,1,4,10,11,14,0,0,62,62421,15,2008,T,LNDR,RHS,4W,8,17,NA,2,0,1134,RRV,G,NA,NA,8,268,NA,NA,NA,5698,00,NA,7,44,0,0,0,0,9,0,24,2,3,1,11,3,0,8,0,0,0,1,9,2,1,16,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,120618,1,1,1,0,11,26,4,1,38,11,25,0,0,37,37709,80,2011,M,HOND,B60,RC,11,17,NA,NA,NA,NA,NA,NA,599,NA,4,NA,4,NA,NA,NA,NA,410,NA,NA,0,0,0,0,12,0,22,2,1,4,11,5,0,0,8,0,0,1,9,2,1,12,0,8,2,1,0,0,1,0,0,5,0,27,4,2012,2,1,201,24,23,0,0,0,************,0,4,1,0
12,120619,2,2,1,0,11,26,4,3,52,11,25,0,0,37,37031,2,1999,P,HOND,UAX,CP,99,17,2560,NA,0,1032,NA,G,NA,FALSE,4,097,NA,14R185,NA,NA,NA,NA,NA,NA,0,0,0,1,12,0,20,2,1,4,11,7,0,1,1,9,0,1,9,2,1,18,0,8,2,1,0,0,1,0,0,0,7,26,4,2012,3,56,356,0,4,0,0,0,************,0,4,1,0
12,120869,2,1,1,0,85,13,5,2,19,11,12,2,0,2,2403,14,2007,T,JEEP,SAH,4W,7,17,NA,1,0,1160,WRA,G,NA,NA,6,230,NA,NA,NA,4269,00,NA,4,44,0,0,0,0,12,1,41,2,1,3,11,7,0,1,0,0,0,1,9,2,1,13,1,8,2,1,0,0,998,0,0,3,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,120886,1,1,1,0,101,27,5,15,20,11,42,0,0,59,59031,4,1997,P,LEXS,ES3,4D,97,17,3296,NA,0,1051,NA,G,NA,FALSE,6,183,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,0,81,0,29,2,1,4,11,7,0,20,0,0,0,1,9,2,1,19,8,8,0,0,0,0,0,0,0,1,0,28,5,2012,17,57,1757,26,37,0,0,0,************,0,7,1,0
12,121365,1,1,1,0,57,5,8,3,6,11,1,0,0,35,35047,4,2005,P,NISS,ASR,4D,5,17,3101,NA,0,1102,NA,G,NA,FALSE,6,214,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,21,2,1,3,11,3,0,20,0,0,0,1,9,2,1,14,9,8,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
12,121567,2,1,1,0,57,8,9,1,39,11,12,1,0,49,49040,4,2007,P,TOYT,CMB,4D,7,17,3108,NA,0,1093,NA,G,NA,FALSE,4,146,NA,15R205,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,25,2,1,1,11,3,0,20,0,0,0,1,9,2,1,21,0,8,2,1,0,0,1,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
