STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
2,20015,1,1,1,0,170,19,4,17,20,1,1,0,0,63,63031,4,2001,P,KIA,SPL,4D,1,17,2478,NA,0,1008,NA,G,NA,FALSE,4,109,NA,14R185,NA,NA,NA,NA,NA,NA,0,0,0,2,0,98,0,31,1,1,4,11,7,0,20,1,2,0,1,5,2,1,22,1,8,2,1,0,0,606,0,0,0,7,19,4,2011,17,55,1755,0,35,0,0,0,************,0,7,1,0
2,20005,1,1,1,0,170,23,1,4,8,1,30,0,0,98,98998,91,2010,U,NA,NA,NA,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,46,1,1,4,11,17,0,0,1,8,0,1,1,2,1,24,0,1,2,1,0,0,1,0,0,5,8,23,1,2011,4,32,432,0,24,0,0,0,************,0,7,1,0
2,20044,1,1,1,0,20,11,6,12,43,11,1,0,0,72,72706,80,1995,M,HD,FDX,RS,95,17,NA,NA,NA,NA,NA,NA,1340,NA,2,NA,4,NA,NA,NA,NA,575,NA,NA,0,0,0,0,0,99,0,52,1,1,4,11,16,0,0,8,0,0,1,1,2,1,13,0,1,2,1,0,0,1,0,0,5,0,11,6,2011,16,45,1645,4,2,0,0,0,************,0,7,1,0
2,20059,1,1,1,0,20,8,12,23,21,11,48,0,0,2,2404,14,2004,T,JEEP,LCF,4W,4,17,NA,1,0,1059,GCK,G,NA,NA,6,244,NA,NA,NA,3888,02,NA,E,44,0,0,0,1,12,13,0,27,1,1,2,11,99,0,98,0,0,0,1,9,2,1,17,0,8,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
4,40630,1,1,1,0,13,8,11,23,59,1,52,0,0,72,72706,80,2004,M,HD,FCI,RS,4,17,NA,NA,NA,NA,NA,NA,1450,NA,2,NA,4,NA,NA,NA,NA,999,NA,NA,0,0,0,0,12,98,0,59,1,1,4,11,17,0,0,8,0,0,1,1,2,1,23,0,8,0,0,0,0,0,0,0,5,0,10,11,2011,1,25,125,25,26,0,0,0,************,0,7,1,0
4,40484,1,1,1,0,19,20,9,1,4,11,8,0,0,2,2404,14,2004,T,JEEP,LCF,4W,4,17,NA,1,0,1059,GCK,G,NA,NA,6,244,NA,NA,NA,3888,02,NA,E,44,0,0,0,0,12,12,0,19,1,1,2,11,7,0,1,0,0,0,1,9,2,1,8,1,8,2,1,1,0,606,695,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
4,40453,2,1,1,0,12,15,8,16,34,1,12,1,0,49,49403,14,2008,P,TOYT,HIG,UT,8,17,4508,NA,0,1098,NA,B,NA,FALSE,6,201,NA,17R245,NA,NA,NA,NA,NA,NA,0,0,0,0,12,98,0,57,1,1,2,11,3,0,1,0,0,0,1,9,2,1,15,0,8,0,0,0,0,0,0,0,6,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
4,40342,1,0,1,1,13,11,7,99,99,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,5,4,0,96,8,97,8,0,0,9,9,2,1,26,9,8,2,1,1,0,401,417,0,0,7,11,7,2011,2,42,242,999,99,0,0,0,************,0,7,3,11
4,40345,1,1,1,0,21,12,7,19,36,1,25,0,0,23,23421,15,2005,T,GMC,YUK,4W,5,17,NA,2,0,1160,YUK,G,NA,NA,8,293,NA,NA,B,4975,00,NA,4,42,1,0,0,1,12,98,1,58,1,1,4,11,99,0,99,0,0,1,9,9,2,1,5,9,8,2,1,1,1,401,417,128,0,7,12,7,2011,19,36,1936,0,0,0,0,0,************,0,7,1,0
4,40410,1,1,1,0,25,4,8,13,45,1,41,0,0,49,49040,4,1990,P,TOYT,CMD,4D,90,17,0,NA,0,1024,NA,G,NA,FALSE,4,122,NA,14R185,NA,NA,NA,NA,NA,NA,0,0,0,1,99,98,0,28,1,1,4,11,1,0,0,2,2,0,9,9,2,1,3,9,8,2,1,1,0,996,996,0,0,7,4,8,2011,13,45,1345,0,0,0,0,0,************,0,7,1,0
