STATE,STATENAME,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,DAYNAME,MONTH,MONTHNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,SCH_BUS,SCH_BUSNAME,MAKE,MAKENAME,MAK_MOD,BODY_TYP,BODY_TYPNAME,MOD_YEAR,MOD_YEARNAME,TOW_VEH,TOW_VEHNAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,ROLLOVER,ROLLOVERNAME,IMPACT1,IMPACT1NAME,FIRE_EXP,FIRE_EXPNAME,AGE,AGENAME,SEX,SEXNAME,PER_TYP,PER_TYPNAME,INJ_SEV,INJ_SEVNAME,SEAT_POS,SEAT_POSNAME,REST_USE,REST_USENAME,REST_MIS,REST_MISNAME,AIR_BAG,AIR_BAGNAME,EJECTION,EJECTIONNAME,EJ_PATH,EJ_PATHNAME,EXTRICAT,EXTRICATNAME,DRINKING,DRINKINGNAME,ALC_DET,ALC_DETNAME,ALC_STATUS,ALC_STATUSNAME,ATST_TYP,ATST_TYPNAME,ALC_RES,ALC_RESNAME,DRUGS,DRUGSNAME,DRUG_DET,DRUG_DETNAME,DSTATUS,DSTATUSNAME,HOSPITAL,HOSPITALNAME,DOA,DOANAME,DEATH_DA,DEATH_DANAME,DEATH_MO,DEATH_MONAME,DEATH_YR,DEATH_YRNAME,DEATH_HR,DEATH_HRNAME,DEATH_MN,DEATH_MNNAME,DEATH_TM,DEATH_TMNAME,LAG_HRS,LAG_HRSNAME,LAG_MINS,LAG_MINSNAME,P_SF1,P_SF1NAME,P_SF2,P_SF2NAME,P_SF3,P_SF3NAME,WORK_INJ,WORK_INJNAME,HISPANIC,HISPANICNAME,LOCATION,LOCATIONNAME,HELM_USE,HELM_USENAME,HELM_MIS,HELM_MISNAME
4,Arizona,40126,1,1,1,0,3,5,5,3,March,14,2:00pm-2:59pm,35,35,1,Rural,1,Interstate,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,19,Cadillac,Cadillac XLR,1,"Convertible(excludes sun-roof,t-bar)",2004,2004,0,No Trailing Units,0,No Special Use,0,Not Applicable,2,"Rollover, Untripped",0,Non-Collision,0,No or Not Reported,70,70 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,20,Not Deployed,1,Totally Ejected,6,"Through Roof Opening (sun-roof, convertible top down)",0,Not Extricated or Not Applicable,1,Yes (Alcohol Involved),5,Observed,2,Test Given,1,Blood,73,0.073 % BAC,0,No (drugs not involved),8,Not Reported,0,Test Not Given,1,EMS Air,0,Not Applicable,9,9,3,March,2019,2019,15,15:00-15:59,22,22,1522,1522,96,96,47,47,0,None,0,None,0,None,0,No,7,Non-Hispanic,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
4,Arizona,40287,2,1,1,0,13,28,28,4,April,6,6:00am-6:59am,46,46,2,Urban,1,Interstate,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,32,Audi,Audi A3,4,"4-door sedan, hardtop",2015,2015,0,No Trailing Units,0,No Special Use,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,20,20 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Mis-Use,1,Deployed- Front,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,9,Reported as Unknown,9,Not Reported,2,Test Given,1,Blood,19,0.019 % BAC,9,Reported as Unknown,8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,28,28,4,April,2019,2019,7,7:00-7:59,12,12,712,712,0,0,26,26,0,None,0,None,0,None,0,No,7,Non-Hispanic,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
4,Arizona,40490,1,1,1,0,13,14,14,7,July,18,6:00pm-6:59pm,37,37,2,Urban,1,Interstate,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,35,Nissan/Datsun,Nissan/Datsun Versa,5,5-door/4-door hatchback,2008,2008,0,No Trailing Units,0,No Special Use,0,Not Applicable,1,"Rollover, Tripped by Object/Vehicle",82,Right-Front Side,0,No or Not Reported,21,21 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Mis-Use,1,Deployed- Front,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,9,Reported as Unknown,9,Not Reported,2,Test Given,1,Blood,28,0.028 % BAC,9,Reported as Unknown,8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,14,14,7,July,2019,2019,18,18:00-18:59,38,38,1838,1838,0,0,1,1,0,None,0,None,0,None,0,No,7,Non-Hispanic,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
6,California,60068,1,1,1,0,67,5,5,1,January,7,7:00am-7:59am,55,55,2,Urban,1,Interstate,20,Impact Attenuator/Crash Cushion,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,12,Ford,Ford E-Series Van/Econoline,21,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",2006,2006,0,No Trailing Units,0,No Special Use,0,Not Applicable,0,No Rollover,12,12 Clock Point,0,No or Not Reported,58,58 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Mis-Use,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,1,Yes (Alcohol Involved),1,"Evidential Test (breath, blood, urine)",2,Test Given,1,Blood,26,0.026 % BAC,1,Yes (drugs involved),1,"Evidential Test (Blood, Urine)",2,Test Given,0,Not Transported,7,Died at Scene,5,5,1,January,2019,2019,7,7:00-7:59,55,55,755,755,0,0,0,0,0,None,0,None,0,None,0,No,7,Non-Hispanic,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
6,California,60118,1,1,2,0,71,1,1,1,January,4,4:00am-4:59am,55,55,2,Urban,1,Interstate,43,Other Fixed Object,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",1998,1998,0,No Trailing Units,0,No Special Use,0,Not Applicable,1,"Rollover, Tripped by Object/Vehicle",12,12 Clock Point,0,No or Not Reported,52,52 Years,1,Male,2,Passenger of a Motor Vehicle In-Transport,4,Fatal Injury (K),13,"Front Seat, Right Side",3,Shoulder and Lap Belt Used,0,No Indication of Mis-Use,20,Not Deployed,1,Totally Ejected,9,Ejection Path Unknown,0,Not Extricated or Not Applicable,8,Not Reported,9,Not Reported,2,Test Given,1,Blood,25,0.025 % BAC,8,Not Reported,8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,1,1,1,January,2019,2019,4,4:00-4:59,55,55,455,455,0,0,0,0,0,None,0,None,0,None,0,No,6,"Hispanic, Origin Not Specified or Other Origin",0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
6,California,60165,4,0,1,1,65,20,20,1,January,18,6:00pm-6:59pm,43,43,2,Urban,1,Interstate,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32 Years,1,Male,5,Pedestrian,4,Fatal Injury (K),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,9,Reported as Unknown,9,Not Reported,2,Test Given,1,Blood,25,0.025 % BAC,0,No (drugs not involved),8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,20,20,1,January,2019,2019,18,18:00-18:59,56,56,1856,1856,0,0,13,13,0,None,0,None,0,None,0,No,6,"Hispanic, Origin Not Specified or Other Origin",13,"Not at Intersection - On Roadway, Crosswalk Availability Unknown",96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant
6,California,60168,1,1,1,0,77,6,6,2,February,5,5:00am-5:59am,33,33,2,Urban,1,Interstate,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,37,Honda,"Honda Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",4,"4-door sedan, hardtop",2006,2006,0,No Trailing Units,0,No Special Use,0,Not Applicable,1,"Rollover, Tripped by Object/Vehicle",98,Not Reported,0,No or Not Reported,28,28 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,1,Totally Ejected,9,Ejection Path Unknown,0,Not Extricated or Not Applicable,1,Yes (Alcohol Involved),1,"Evidential Test (breath, blood, urine)",2,Test Given,1,Blood,40,0.040 % BAC,1,Yes (drugs involved),1,"Evidential Test (Blood, Urine)",2,Test Given,0,Not Transported,7,Died at Scene,6,6,2,February,2019,2019,5,5:00-5:59,33,33,533,533,0,0,0,0,0,None,0,None,0,None,0,No,7,Non-Hispanic,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
6,California,60403,1,1,1,0,37,30,30,3,March,13,1:00pm-1:59pm,50,50,2,Urban,1,Interstate,39,Wall,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,53,Suzuki,Suzuki 750cc-over,80,Two Wheel Motorcycle (excluding motor scooters),2007,2007,0,No Trailing Units,0,No Special Use,0,Not Applicable,0,No Rollover,98,Not Reported,0,No or Not Reported,27,27 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,20,Not Deployed,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,9,Reported as Unknown,9,Not Reported,2,Test Given,1,Blood,60,0.060 % BAC,9,Reported as Unknown,8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,30,30,3,March,2019,2019,13,13:00-13:59,50,50,1350,1350,0,0,0,0,0,None,0,None,0,None,0,No,1,Mexican,0,Occupant of a Motor Vehicle,5,DOT-Compliant Motorcycle Helmet,0,No Indication of Mis-Use
6,California,60834,2,1,2,0,1,8,8,6,June,17,5:00pm-5:59pm,10,10,2,Urban,1,Interstate,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,No,35,Nissan/Datsun,Nissan/Datsun Sentra,4,"4-door sedan, hardtop",2016,2016,0,No Trailing Units,0,No Special Use,0,Not Applicable,1,"Rollover, Tripped by Object/Vehicle",11,11 Clock Point,0,No or Not Reported,25,25 Years,1,Male,2,Passenger of a Motor Vehicle In-Transport,4,Fatal Injury (K),21,"Second Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,1,Totally Ejected,9,Ejection Path Unknown,0,Not Extricated or Not Applicable,8,Not Reported,9,Not Reported,2,Test Given,1,Blood,20,0.020 % BAC,8,Not Reported,8,Not Reported,2,Test Given,0,Not Transported,7,Died at Scene,8,8,6,June,2019,2019,17,17:00-17:59,10,10,1710,1710,0,0,0,0,0,None,0,None,0,None,0,No,1,Mexican,0,Occupant of a Motor Vehicle,20,Not Applicable,7,None Used/Not Applicable
6,California,61161,1,0,1,1,95,13,13,2,February,6,6:00am-6:59am,50,50,2,Urban,1,Interstate,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27 Years,1,Male,5,Pedestrian,4,Fatal Injury (K),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,0,No (Alcohol Not Involved),9,Not Reported,2,Test Given,1,Blood,20,0.020 % BAC,1,Yes (drugs involved),1,"Evidential Test (Blood, Urine)",2,Test Given,0,Not Transported,7,Died at Scene,13,13,2,February,2019,2019,7,7:00-7:59,18,18,718,718,0,0,28,28,0,None,0,None,0,None,0,No,7,Non-Hispanic,11,"Not at Intersection - On Roadway, Not in Marked Crosswalk",96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant
