STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,IMPACT2,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
17,170659,1,1,1,0,133,27,10,2,33,1,31,0,0,7,7482,31,2005,T,DODG,SQ1,CW,5,17,NA,2,1605,1405,RPC,G,NA,NA,8,348,NA,NA,B,4620,03,NA,E,42,0,0,0,1,12,12,0,39,1,1,4,11,7,0,20,1,2,0,0,5,2,1,40,8,8,2,1,0,0,1,0,0,0,7,27,10,2011,2,33,233,0,0,0,0,0,************,0,7,2,0
17,170788,1,1,1,0,197,10,12,2,22,11,18,0,0,37,37031,2,2009,P,HOND,UCL,CP,9,17,2659,NA,0,1043,NA,G,NA,F,4,110,NA,16R205,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,27,1,1,4,11,3,0,1,0,0,0,8,9,2,1,13,8,8,2,1,0,0,1,0,0,0,7,10,12,2011,3,25,325,1,3,0,0,0,************,0,7,1,0
17,170412,1,1,1,0,49,28,7,5,9,1,24,0,0,82,82881,66,2007,T,FRHT,COL,TR,7,17,NA,8,0,0,CON,D,NA,NA,6,855,NA,NA,NA,00000,00,NA,NA,64,1,0,0,0,12,12,0,50,1,1,4,11,7,0,0,0,0,1,0,5,2,1,5,8,8,2,1,0,0,998,0,0,5,0,28,7,2011,6,5,605,0,56,0,0,0,************,1,7,1,0
17,170507,2,1,1,0,49,26,8,14,11,1,18,0,0,35,35481,31,2008,T,NISS,TXS,PC,8,17,NA,2,0,1398,TTN,F,NA,NA,8,342,NA,NA,B,4844,00,NA,4,42,0,0,0,0,12,12,0,62,1,1,4,11,3,0,1,0,0,1,1,5,2,1,8,8,8,2,1,0,0,998,0,0,1,8,26,8,2011,16,1,1601,1,50,0,0,0,************,0,7,1,0
17,170752,1,1,1,0,161,2,12,0,20,1,32,0,0,20,20482,31,2004,T,CHEV,KAV,CW,4,17,NA,2,0,1300,AVL,G,NA,NA,8,325,NA,NA,B,5678,00,NA,NA,44,0,0,0,1,12,12,0,34,1,1,4,11,7,0,20,1,2,0,1,5,2,1,9,8,8,2,1,0,0,998,0,0,0,7,2,12,2011,0,25,25,0,5,0,0,0,************,0,7,1,0
17,170033,1,1,2,0,31,29,1,2,7,11,38,0,0,21,21022,4,2001,P,OLDS,AU4,4D,1,17,3803,NA,0,1122,NA,G,NA,F,8,244,NA,17R235,NA,NA,NA,NA,NA,NA,0,0,0,0,12,98,0,28,1,2,4,13,7,0,1,0,0,1,1,1,2,1,11,0,1,2,1,0,0,1,0,0,5,0,29,1,2011,3,13,313,1,6,0,0,0,************,0,7,2,0
17,170055,1,1,1,0,31,9,2,23,38,11,42,0,0,34,34037,4,2006,P,BMW,50L,4D,6,17,4552,NA,0,1231,NA,G,NA,F,8,292,NA,18R245,NA,NA,NA,NA,NA,NA,0,0,0,0,81,81,0,42,1,1,4,11,3,0,20,0,0,0,9,9,2,1,23,8,8,2,1,0,0,1,0,0,5,0,10,2,2011,0,16,16,0,38,0,0,0,************,0,7,2,0
17,170110,1,1,1,0,31,17,3,22,14,11,8,0,0,20,20481,31,1998,T,CHEV,GK1,PC,98,17,NA,2,1555,1415,GM4,G,NA,NA,6,262,NA,NA,B,00000,00,NA,NA,44,0,0,0,0,12,12,0,40,1,1,0,11,99,0,20,0,0,0,1,9,2,1,13,8,8,0,0,0,0,0,0,0,0,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
17,170121,2,1,1,0,163,26,3,6,28,11,12,1,0,32,32045,2,2002,P,AUDI,ATQ,RD,2,17,3386,NA,0,956,NA,G,NA,T,4,109,NA,17R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,12,0,47,1,1,4,11,3,0,1,0,0,0,1,9,2,1,24,8,8,2,1,0,0,1,0,0,5,0,26,3,2011,7,15,715,0,47,0,0,0,************,0,7,1,0
17,170182,1,0,1,1,31,22,4,21,52,11,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,5,4,0,96,8,97,8,0,0,9,9,2,1,19,8,8,2,1,0,0,1,0,0,5,0,22,4,2011,22,34,2234,0,42,0,0,0,************,0,7,1,11
