STATE,VEH_NO,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,LOCATION,DRINKING,ALC_DET,ATST_TYP,ALC_RES,ALC_STATUS,DRUGS,DSTATUS,DRUG_DET,DRUGTST1,DRUGRES1,DRUGTST2,DRUGRES2,DRUGTST3,DRUGRES3,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,RACE,HISPANIC,P_CF1,P_CF2,P_CF3,WORK_INJ,DOA,ST_CASE,DEATH_YR,DEATH_TM,CERT_NO,MAKE,BODY_TYP,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,COUNTY,MONTH,DAY,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VE_FORMS
34,0,1,1,49,1,5,0,0,0,8,0,0,12,1,1,1,28,2,0,2,1,1,1,0,0,0,0,4,0,1,1,19,25,0,38,1,7,3,4,0,0,7,340001,2009,1925,************,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,1,18,47,11,8,0,0,2
34,1,1,0,47,1,1,11,0,20,0,0,0,0,1,1,1,28,2,0,2,1,1,1,0,0,0,0,4,0,1,16,2,55,0,32,1,7,0,0,0,0,7,340022,2009,255,************,20,31,1,0,0,0,12,12,1,0,20481,2006,2KH,SIL,CW,1530,1670,NA,NA,2,31,1,16,2,23,11,24,0,0,1
34,0,1,1,28,1,5,0,0,0,8,0,0,12,1,1,1,34,2,8,2,8,1,1,0,0,0,0,4,0,2,20,22,5,0,25,98,4,3,15,0,0,7,340092,2009,2205,************,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,20,21,40,11,8,0,0,2
34,0,1,1,64,1,5,0,0,0,8,0,0,15,8,9,1,5,2,8,0,8,0,0,0,0,0,0,4,0,3,5,21,18,1,36,1,7,1,0,0,0,7,340114,2009,2118,************,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,5,19,42,11,8,0,0,1
34,1,1,0,26,1,1,11,3,1,0,0,0,0,1,1,1,18,2,0,2,1,1,1,0,0,0,0,4,1,3,27,1,50,1,8,1,7,0,0,0,0,0,340136,2009,150,************,32,4,0,0,0,0,12,12,1,0,32043,2006,NAQ,***,4D,1043,0,NA,3461,NA,3,3,27,0,42,11,12,1,0,2
34,1,1,0,25,1,1,11,0,9,0,0,1,0,1,1,1,18,2,1,2,1,1,407,1,167,1,795,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,340145,8888,8888,************,49,4,0,0,0,0,12,9,1,0,49043,1999,UVS,***,4D,1071,0,NA,3340,NA,39,4,4,6,1,11,12,5,0,2
34,1,3,0,26,1,2,21,0,0,0,0,0,0,8,9,1,6,2,8,2,8,1,100,1,695,0,0,4,0,4,4,6,19,0,18,2,7,0,0,0,0,7,340145,2009,619,************,49,4,0,0,0,0,12,9,1,0,49043,1999,UVS,***,4D,1071,0,NA,3340,NA,39,4,4,6,1,11,12,5,0,2
34,0,1,1,23,1,5,0,0,0,8,0,0,18,1,1,1,9,2,0,2,1,1,998,0,0,0,0,4,1,4,10,6,50,4,53,2,7,0,0,0,0,0,340161,2009,650,************,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,10,1,57,11,8,0,0,1
34,1,1,0,42,1,1,11,3,20,0,0,0,0,1,1,1,12,2,8,2,8,1,1,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,340161,8888,8888,************,24,4,0,0,0,0,12,12,1,0,24005,2002,L20,***,4D,1065,0,NA,3033,NA,3,4,10,1,57,11,8,0,0,1
34,1,1,0,23,1,1,11,0,99,0,0,0,0,1,1,1,19,2,0,2,1,1,1,0,0,0,0,4,1,8,13,6,0,173,51,1,6,0,0,0,0,0,340370,2009,600,************,32,4,0,0,0,0,12,12,1,1,32043,1997,41Q,***,4D,1026,0,NA,3042,NA,27,8,6,0,9,11,27,0,0,1
