STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,MCYCL_WT,VIN_REST,WHLDRWHL,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,CERT_NO,WORK_INJ,HISPANIC,RACE,LOCATION
9,90051,2,1,1,0,11,5,6,2,20,11,12,2,0,37,37402,14,2008,P,HOND,CRV,UT,8,17,3501,NA,0,1031,NA,G,NA,F,4,146,NA,17R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,60,2,1,4,11,7,0,1,0,0,0,8,9,2,1,22,8,8,2,1,0,0,1,0,0,5,0,5,6,2012,4,10,410,1,50,0,0,0,************,0,7,1,0
9,90107,2,1,1,0,13,2,9,2,35,11,12,2,0,58,58037,4,2004,P,INFI,AWD,4D,4,17,3677,NA,0,1122,NA,G,NA,F,6,214,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,0,12,0,31,2,1,3,11,3,0,8,0,0,1,1,1,2,1,27,0,1,2,1,0,0,1,0,0,1,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
9,90179,1,1,2,0,3,17,11,2,43,11,41,0,0,35,35047,4,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,8,0,24,2,1,1,11,7,0,20,0,0,0,8,9,2,1,18,8,8,0,0,0,0,0,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
9,90072,1,1,4,0,1,1,1,3,23,11,24,0,0,35,35047,4,2005,P,NISS,ASR,4D,5,17,3101,NA,0,1102,NA,G,NA,F,6,214,NA,17R215,NA,NA,NA,NA,NA,NA,0,0,0,1,99,0,25,2,2,4,23,99,0,0,0,0,1,1,1,2,1,21,0,1,2,1,0,0,996,0,0,0,7,1,1,2012,4,7,407,0,44,0,0,0,************,0,7,2,0
9,90022,2,1,1,0,9,20,2,23,2,11,12,2,0,51,51045,4,2001,P,VOLV,S8E,4D,1,17,3715,NA,0,1099,NA,G,NA,T,6,170,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,1,21,2,1,2,11,99,0,1,0,0,9,1,1,2,1,17,0,1,2,1,0,0,1,0,0,5,0,88,88,8888,88,88,8888,999,99,0,0,0,************,8,0,0,0
9,90022,2,1,2,0,9,20,2,23,2,11,12,2,0,51,51045,4,2001,P,VOLV,S8E,4D,1,17,3715,NA,0,1099,NA,G,NA,T,6,170,NA,16R225,NA,NA,NA,NA,NA,NA,0,0,0,0,12,1,20,2,2,4,13,7,0,1,0,0,9,8,9,2,1,29,8,8,2,1,1,0,402,407,0,5,0,20,2,2012,23,28,2328,0,26,0,0,0,************,0,7,1,0
9,90200,1,1,2,0,3,16,12,3,32,11,24,0,0,7,7482,31,2003,T,DODG,SQ1,CW,3,17,NA,2,1605,1405,RPC,G,NA,NA,8,360,NA,NA,B,5005,02,NA,E,44,0,0,0,1,1,0,27,2,2,4,13,99,0,20,1,9,0,1,1,2,1,19,0,1,2,1,0,0,996,0,0,0,7,16,12,2012,3,59,359,0,27,0,0,0,************,0,7,1,0
9,90028,1,1,3,0,13,7,4,3,23,1,24,0,0,19,19018,4,2005,P,CADI,HF6,4D,5,17,3509,NA,0,1134,NA,G,NA,F,6,220,NA,17R225,NA,NA,NA,NA,NA,NA,0,0,0,1,99,0,19,2,2,4,21,3,0,0,0,0,1,8,9,2,1,10,8,8,2,1,0,0,996,0,0,0,7,7,4,2012,3,55,355,0,32,0,0,0,************,0,2,1,0
9,90091,2,1,2,0,3,11,6,21,26,11,12,7,0,7,7482,31,2008,T,DODG,SQ1,CW,8,17,NA,2,1605,1405,RPC,G,NA,NA,8,287,NA,NA,B,5201,00,NA,E,44,0,0,0,1,1,0,23,2,2,4,13,7,0,20,1,9,0,8,9,2,1,2,8,8,2,1,0,0,996,0,0,0,7,11,6,2012,21,49,2149,0,23,0,0,0,************,0,7,1,0
9,90151,1,1,2,0,3,19,9,22,47,11,24,0,0,53,53705,80,2009,M,SUZI,G65,RC,9,17,NA,NA,NA,NA,NA,NA,656,NA,4,NA,4,NA,NA,NA,NA,531,NA,NA,0,0,0,0,10,0,25,2,2,4,21,17,0,0,8,0,0,8,9,2,1,16,8,8,2,1,0,0,1,0,0,0,7,19,9,2012,22,47,2247,0,0,0,0,0,************,0,7,1,0
